PS D:\CS780\CS780-OBELIX-main\CS780-OBELIX-main> python train_d3qn_per.py --episodes 6000 --difficulty 2 --wall_obstacles --resume weights_d3qn.pth 
Device: cuda
Resumed from weights_d3qn.pth

Training D3QN-PER | episodes=6000 | walls=ON | difficulty=2
======================================================================
Ep    25/6000 | steps=   25000 | mean_r=  -5422.0 | success=  0.0% | loss=0.1287 | eps=0.498 | beta=0.403 | stuck=  22.2
Ep  2550/6000 | steps= 2503053 | mean_r= -19543.2 | success=  0.0% | loss=0.0194 | eps=0.300 | beta=0.700 | stuck=  92.8
Ep  2575/6000 | steps= 2527160 | mean_r= -10984.0 | success=  8.0% | loss=0.0178 | eps=0.298 | beta=0.703 | stuck=  51.1
Ep  2600/6000 | steps= 2551322 | mean_r= -12467.4 | success=  4.0% | loss=0.0163 | eps=0.296 | beta=0.706 | stuck=  58.0
Ep  2625/6000 | steps= 2576322 | mean_r= -19036.3 | success=  0.0% | loss=0.0148 | eps=0.294 | beta=0.709 | stuck=  90.3
Ep  2650/6000 | steps= 2601322 | mean_r= -17627.2 | success=  0.0% | loss=0.0138 | eps=0.292 | beta=0.712 | stuck=  83.3
Ep  2675/6000 | steps= 2626191 | mean_r= -13138.3 | success=  4.0% | loss=0.0130 | eps=0.290 | beta=0.715 | stuck=  61.3
Ep  2700/6000 | steps= 2651191 | mean_r= -13092.4 | success=  0.0% | loss=0.0118 | eps=0.288 | beta=0.718 | stuck=  60.6
Ep  2725/6000 | steps= 2676191 | mean_r= -10583.4 | success=  0.0% | loss=0.0108 | eps=0.286 | beta=0.721 | stuck=  48.1
Ep  2750/6000 | steps= 2700415 | mean_r= -10505.2 | success=  4.0% | loss=0.0102 | eps=0.284 | beta=0.724 | stuck=  48.2
Ep  2775/6000 | steps= 2725415 | mean_r=  -8002.1 | success=  0.0% | loss=0.0095 | eps=0.282 | beta=0.727 | stuck=  35.2
Ep  2800/6000 | steps= 2750415 | mean_r= -12007.3 | success=  0.0% | loss=0.0086 | eps=0.280 | beta=0.730 | stuck=  55.2
Ep  2825/6000 | steps= 2775415 | mean_r= -20820.6 | success=  0.0% | loss=0.0080 | eps=0.278 | beta=0.733 | stuck=  99.2
Ep  2850/6000 | steps= 2800415 | mean_r=  -7086.8 | success=  0.0% | loss=0.0074 | eps=0.276 | beta=0.736 | stuck=  30.6
